Stage Name, Latitude, Longitude, Elevation
1A_NashvilleToPaducah,36.15179700,-86.77928600,142.50
1A_NashvilleToPaducah,36.15180500,-86.77928700,142.50
1A_NashvilleToPaducah,36.15200800,-86.77929300,142.10
1A_NashvilleToPaducah,36.15223900,-86.77930600,141.50
1A_NashvilleToPaducah,36.15273900,-86.77932800,138.80
1A_NashvilleToPaducah,36.15281400,-86.77933100,138.60
1A_NashvilleToPaducah,36.15297900,-86.77933700,138.10
1A_NashvilleToPaducah,36.15339000,-86.77936600,137.80
1A_NashvilleToPaducah,36.15343400,-86.77936900,137.80
1A_NashvilleToPaducah,36.15401900,-86.77939800,140.30
1A_NashvilleToPaducah,36.15412800,-86.77939800,140.60
1A_NashvilleToPaducah,36.15435800,-86.77933900,140.60
1A_NashvilleToPaducah,36.15443800,-86.77931100,140.60
1A_NashvilleToPaducah,36.15453200,-86.77927800,140.40
1A_NashvilleToPaducah,36.15456100,-86.77923700,140.10
1A_NashvilleToPaducah,36.15462900,-86.77918300,139.90
1A_NashvilleToPaducah,36.15469000,-86.77915200,139.80
1A_NashvilleToPaducah,36.15473100,-86.77914200,139.80
1A_NashvilleToPaducah,36.15478600,-86.77913400,139.80
1A_NashvilleToPaducah,36.15483600,-86.77914900,140.00
1A_NashvilleToPaducah,36.15491200,-86.77918800,140.30
1A_NashvilleToPaducah,36.15497500,-86.77925200,140.40
1A_NashvilleToPaducah,36.15502100,-86.77933600,140.60
1A_NashvilleToPaducah,36.15504100,-86.77940000,140.70
1A_NashvilleToPaducah,36.15504900,-86.77946900,141.00
1A_NashvilleToPaducah,36.15507300,-86.77952600,141.20
1A_NashvilleToPaducah,36.15511700,-86.77959900,141.50
1A_NashvilleToPaducah,36.15515400,-86.77965400,141.60
1A_NashvilleToPaducah,36.15516600,-86.77966500,141.70
1A_NashvilleToPaducah,36.15518200,-86.77968200,141.70
1A_NashvilleToPaducah,36.15532300,-86.77977400,141.90
1A_NashvilleToPaducah,36.15551100,-86.77994900,142.30
1A_NashvilleToPaducah,36.15581200,-86.78014000,142.40
1A_NashvilleToPaducah,36.15616600,-86.78035900,143.00
1A_NashvilleToPaducah,36.15653200,-86.78059500,144.30
1A_NashvilleToPaducah,36.15662300,-86.78065600,144.60
1A_NashvilleToPaducah,36.15663600,-86.78066400,144.60
1A_NashvilleToPaducah,36.15666200,-86.78068100,144.70
1A_NashvilleToPaducah,36.15678900,-86.78075800,145.00
1A_NashvilleToPaducah,36.15682200,-86.78077900,145.10
1A_NashvilleToPaducah,36.15689100,-86.78082200,145.20
1A_NashvilleToPaducah,36.15695600,-86.78086400,145.40
1A_NashvilleToPaducah,36.15701200,-86.78089900,145.60
1A_NashvilleToPaducah,36.15703700,-86.78091400,145.60
