Latitude,Longitude,Elevation,Distance,Orientation
37.03767600,-88.53886600,109.00,0.09,129.16
37.03726900,-88.53824000,107.00,0.09,129.81
37.03658300,-88.53720900,111.00,0.09,133.12
37.03643200,-88.53700700,111.00,0.09,137.15
37.03625300,-88.53679900,117.00,0.09,138.09
37.03608400,-88.53660900,118.00,0.09,140.72
37.03592100,-88.53644200,118.00,0.09,142.49
37.03568700,-88.53621700,115.00,0.09,143.92
37.03549200,-88.53603900,114.00,0.09,149.16
37.03525000,-88.53585800,114.00,0.09,152.53
37.03503500,-88.53571800,115.00,0.09,155.66
37.03485500,-88.53561600,116.00,0.09,159.13
37.03460800,-88.53549800,116.00,0.09,162.81
37.03423900,-88.53535500,116.00,0.09,163.52
37.03333500,-88.53502000,120.00,0.09,163.33
37.03291900,-88.53486400,121.00,0.09,165.82
37.03266000,-88.53478200,121.00,0.09,162.46
37.03221800,-88.53460700,120.00,0.10,163.90
37.03113400,-88.53421500,126.00,0.10,163.56
37.02944800,-88.53359200,118.00,0.10,163.34
37.02851400,-88.53324200,123.00,0.10,164.00
37.02788200,-88.53301500,121.00,0.10,163.19
37.02777100,-88.53297300,121.00,0.10,67.36
37.02809800,-88.53199100,120.00,0.10,64.04
37.02818000,-88.53178000,121.00,0.10,55.26
37.02834500,-88.53148200,118.00,0.10,56.60
37.02936500,-88.52954400,125.00,0.10,54.94
37.02957900,-88.52916200,118.00,0.11,48.34
37.03053000,-88.52782300,120.00,0.11,41.22
37.03317100,-88.52492500,94.00,0.11,0.00
37.03317100,-88.52492500,94.00,0.12,41.21
37.03816100,-88.51945100,96.00,0.12,42.34
37.03921500,-88.51824800,104.00,0.12,41.71
37.04076000,-88.51652300,106.00,0.12,42.38
37.04169600,-88.51545300,103.00,0.12,46.93
37.04199300,-88.51505500,102.00,0.12,51.29
37.04218300,-88.51475800,101.00,0.12,55.08
37.04239200,-88.51438300,101.00,0.12,59.67
37.04268200,-88.51376200,103.00,0.12,331.43
37.04285200,-88.51387800,106.00,0.13,333.05
37.04540800,-88.51550600,107.00,0.13,61.02
37.04551500,-88.51526400,106.00,0.13,62.82
37.04559000,-88.51508100,107.00,0.13,64.01
37.04566200,-88.51489600,106.00,0.13,64.99
37.04573200,-88.51470800,106.00,0.13,66.16
37.04579900,-88.51451800,106.00,0.13,67.33
37.04586300,-88.51432600,107.00,0.13,68.72
37.04592300,-88.51413300,108.00,0.13,70.21
37.04597900,-88.51393800,108.00,0.13,71.19
37.04603200,-88.51374300,108.00,0.13,72.44
37.04608200,-88.51354500,107.00,0.13,73.67
37.04612900,-88.51334400,105.00,0.13,74.88
37.04617300,-88.51314000,105.00,0.13,75.87
37.04621400,-88.51293600,106.00,0.13,77.17
37.04623800,-88.51280400,106.00,0.13,77.17
37.04625200,-88.51272700,107.00,0.13,78.69
37.04628600,-88.51251400,107.00,0.13,79.81
37.04631700,-88.51229800,107.00,0.13,81.50
37.04634300,-88.51208000,105.00,0.13,82.86
37.04636500,-88.51186000,103.00,0.13,84.04
37.04638400,-88.51163200,101.00,0.13,86.07
37.04639600,-88.51141300,101.00,0.13,87.10
37.04641400,-88.51096800,102.00,0.13,88.47
37.04641900,-88.51073400,104.00,0.13,90.29
37.04641800,-88.51048500,105.00,0.13,92.03
37.04641300,-88.51030800,105.00,0.13,92.22
37.04640600,-88.51008200,107.00,0.13,94.42
37.04637900,-88.50964400,108.00,0.13,95.04
37.04635900,-88.50936000,109.00,0.13,96.32
37.04634600,-88.50921300,109.00,0.13,95.50
37.04632800,-88.50897900,109.00,0.13,94.95
37.04631500,-88.50879100,109.00,0.13,95.53
37.04629600,-88.50854500,108.00,0.14,95.50
37.04624300,-88.50785500,109.00,0.14,95.62
37.04617000,-88.50692500,109.00,0.14,95.19
37.04612400,-88.50629100,106.00,0.14,95.71
37.04610700,-88.50607800,107.00,0.14,95.16
37.04607600,-88.50564800,106.00,0.14,95.57
37.04600900,-88.50478800,104.00,0.14,94.82
37.04598000,-88.50435700,106.00,0.14,93.51
37.04595900,-88.50392800,106.00,0.14,92.35
37.04595200,-88.50371400,106.00,0.14,90.67
37.04595000,-88.50349900,105.00,0.14,90.00
37.04595000,-88.50328600,105.00,0.14,88.99
37.04595600,-88.50286100,105.00,0.14,86.96
37.04597400,-88.50243600,105.00,0.14,85.56
37.04598700,-88.50222600,105.00,0.14,84.84
37.04600200,-88.50201800,106.00,0.14,83.41
37.04602100,-88.50181200,107.00,0.14,82.25
37.04605000,-88.50154500,107.00,0.14,82.29
37.04606600,-88.50139700,107.00,0.14,81.22
37.04609200,-88.50118600,107.00,0.14,80.18
37.04612100,-88.50097600,104.00,0.14,79.05
37.04615900,-88.50073000,103.00,0.14,78.41
37.04618700,-88.50055900,103.00,0.14,77.55
37.04622400,-88.50034900,104.00,0.14,76.32
37.04626500,-88.50013800,105.00,0.14,75.36
37.04630900,-88.49992700,106.00,0.14,74.34
37.04635600,-88.49971700,107.00,0.14,73.16
37.04640600,-88.49951000,106.00,0.14,72.13
37.04645900,-88.49930400,106.00,0.14,71.33
37.04651700,-88.49908900,106.00,0.14,70.16
37.04657200,-88.49889800,106.00,0.14,69.28
37.04663300,-88.49869600,107.00,0.14,68.66
37.04669600,-88.49849400,110.00,0.15,67.49
37.04682800,-88.49809500,110.00,0.15,65.26
37.04697400,-88.49769800,108.00,0.15,64.36
37.04745700,-88.49643700,107.00,0.15,64.20
37.04780700,-88.49553000,104.00,0.15,0.00
37.04780700,-88.49553000,104.00,0.15,64.13
37.04799700,-88.49503900,104.00,0.15,61.33
37.04805200,-88.49491300,104.00,0.15,67.33
37.04809200,-88.49479300,104.00,0.15,64.70
37.04813500,-88.49467900,104.00,0.15,65.45
37.04833700,-88.49412500,107.00,0.15,67.33
37.04840100,-88.49393300,107.00,0.15,68.28
37.04846300,-88.49373800,107.00,0.15,69.85
37.04852100,-88.49354000,105.00,0.15,71.31
37.04857500,-88.49334000,105.00,0.15,72.29
37.04862700,-88.49313600,105.00,0.15,73.72
37.04867500,-88.49293000,104.00,0.15,74.51
37.04872100,-88.49272200,104.00,0.15,75.84
37.04875000,-88.49257800,104.00,0.15,77.37
37.04879900,-88.49230400,105.00,0.15,78.09
37.04883400,-88.49209600,107.00,0.15,79.95
37.04886400,-88.49188400,107.00,0.15,80.60
37.04889200,-88.49167200,106.00,0.15,82.33
37.04891500,-88.49145800,106.00,0.15,83.59
37.04893400,-88.49124600,106.00,0.15,84.98
37.04894900,-88.49103200,107.00,0.15,85.96
37.04896100,-88.49081900,107.00,0.15,86.98
37.04897000,-88.49060500,107.00,0.15,88.66
37.04897400,-88.49039100,106.00,0.15,90.00
37.04897400,-88.49018000,105.00,0.15,91.56
37.04897000,-88.48999600,105.00,0.15,91.75
37.04896100,-88.48962700,107.00,0.15,95.08
37.04895100,-88.48948600,107.00,0.15,96.28
37.04892000,-88.48913300,108.00,0.15,97.33
37.04887700,-88.48871400,108.00,0.16,98.43
37.04875400,-88.48767400,106.00,0.16,98.70
37.04860100,-88.48642200,107.00,0.16,98.82
37.04854400,-88.48596200,106.00,0.16,98.15
37.04847100,-88.48532300,107.00,0.16,98.90
37.04842000,-88.48491500,108.00,0.16,98.56
37.04836700,-88.48447400,107.00,0.16,98.11
37.04834300,-88.48426300,106.00,0.16,98.60
37.04823600,-88.48337700,104.00,0.16,98.36
37.04811500,-88.48234600,105.00,0.16,98.54
37.04782100,-88.47989300,107.00,0.16,98.79
37.04778200,-88.47957700,107.00,0.16,97.85
37.04777100,-88.47947700,105.00,0.16,98.35
37.04774500,-88.47925500,104.00,0.16,98.90
37.04771900,-88.47904700,104.00,0.17,98.37
37.04762100,-88.47821200,107.00,0.17,98.75
37.04751800,-88.47737400,107.00,0.17,98.09
37.04747000,-88.47695100,107.00,0.17,97.27
37.04744800,-88.47673500,108.00,0.17,96.65
37.04742500,-88.47648800,108.00,0.17,95.79
37.04739200,-88.47608000,107.00,0.17,93.92
37.04734400,-88.47520200,108.00,0.17,94.48
37.04733600,-88.47507400,108.00,0.17,93.90
37.04733100,-88.47498200,108.00,0.17,95.11
37.04732300,-88.47487000,108.00,0.17,94.25
37.04726400,-88.47387500,105.00,0.17,93.55
37.04725900,-88.47377400,105.00,0.17,94.05
37.04721400,-88.47297800,107.00,0.17,93.46
37.04720300,-88.47275000,108.00,0.17,94.98
37.04718700,-88.47252000,108.00,0.17,93.15
37.04716800,-88.47208800,108.00,0.17,94.49
37.04713900,-88.47162500,106.00,0.17,94.47
37.04711100,-88.47117600,105.00,0.17,93.44
37.04709200,-88.47078000,105.00,0.17,94.36
37.04704000,-88.46992500,107.00,0.17,93.83
37.04700400,-88.46925100,107.00,0.17,93.66
37.04698600,-88.46889800,107.00,0.17,92.89
37.04697700,-88.46867500,108.00,0.18,91.76
37.04697000,-88.46839000,109.00,0.18,90.44
37.04696900,-88.46822500,110.00,0.18,88.82
37.04697400,-88.46792000,112.00,0.18,86.84
