latitude,longitude
36.14680700,-86.77556000
36.16707300,-86.77967700
36.20032900,-86.76985700
36.22322200,-86.80587800
36.26246300,-86.83071500
36.29926100,-86.85575900
36.33863700,-86.87101200
36.37792400,-86.89374800
36.42131200,-86.90080500
36.46537400,-86.89368700
36.50359100,-86.88133400
36.54481100,-86.89007900
36.58430500,-86.91367100
36.61932300,-86.94380200
36.64807700,-86.98252000
36.65770300,-87.03296600
36.65134400,-87.08904800
36.67280000,-87.13580300
36.65594300,-87.17885000
36.66854000,-87.21630700
36.70643900,-87.24529900
36.73758100,-87.28590200
36.76452800,-87.32774300
36.79119100,-87.37205600
36.81843800,-87.41887700
36.84452500,-87.46230600
36.87396100,-87.50239500
36.87494200,-87.55071900
36.88162300,-87.60795700
36.88214100,-87.66077900
36.88671500,-87.71993200
36.87109600,-87.76619900
36.85606900,-87.81462500
36.83761700,-87.86248500
36.81122600,-87.90310200
36.79853500,-87.95123200
36.79361700,-88.00462700
36.78067100,-88.05700200
36.77425800,-88.11090800
36.77895700,-88.16231500
36.80703800,-88.20191400
36.84551900,-88.21572500
36.85448700,-88.26160300
36.89196800,-88.30007900
36.92236800,-88.34013600
36.95677400,-88.37294900
36.96948400,-88.42013400
36.97597600,-88.47406700
37.00719900,-88.50777300
37.03850200,-88.53950000
37.05731100,-88.58685200
37.08300600,-88.60726000
37.09248500,-88.63086800
37.09857700,-88.68288900
37.07145000,-88.70818700
37.07275900,-88.76473800
37.06683600,-88.81879800
37.07825300,-88.87398200
37.07976300,-88.92527700
37.07057200,-88.98043200
37.05551800,-89.03343100
37.01973300,-89.05699900
36.98127600,-89.07891500
36.98984600,-89.11212100
36.99165000,-89.15596500
37.02646100,-89.18636200
37.05526900,-89.22220200
37.08934700,-89.25362400
37.13033600,-89.27574700
37.14811200,-89.32250000
37.17051400,-89.36919300
37.19555100,-89.41630700
37.22446900,-89.45746500
37.26307000,-89.44855100
37.29597700,-89.46871200
37.29504900,-89.52565600
37.29515500,-89.51742400
37.29556600,-89.45881900
37.32462600,-89.42486700
37.36211300,-89.39735500
37.40478600,-89.38899900
37.45032900,-89.39743000
37.48918600,-89.42378000
37.52855800,-89.45263400
37.56874000,-89.47446800
37.61179200,-89.48117100
37.65684700,-89.48075100
37.70112500,-89.47227400
37.74840700,-89.46330000
37.77633900,-89.49509600
37.79172800,-89.54892300
37.80841400,-89.60058400
37.82259300,-89.65452300
37.84233300,-89.70528300
37.86568500,-89.75404800
37.89037100,-89.80015200
37.92163200,-89.83441200
37.94671700,-89.87692200
37.98961200,-89.88671700
38.02932800,-89.90931700
38.06401800,-89.93443200
38.10238500,-89.95736100
38.13336500,-89.99799500
38.17843000,-89.99387900
38.21184200,-90.00796500
38.22655800,-90.05687800
38.26338600,-90.08718900
38.28841900,-90.13337100
38.32736500,-90.15495600
38.36799400,-90.15606300
38.41070300,-90.16701700
38.44123200,-90.15501700
38.45598200,-90.10514000
38.49318500,-90.09336900
38.53547800,-90.10336100
38.55357300,-90.08693600
38.58283400,-90.07136300
38.61898300,-90.04133900
38.65650600,-90.01892800
38.70102100,-90.00952500
38.74404200,-90.00310600
38.78699500,-90.01080200
38.79980700,-90.03402200
38.79840100,-90.09111700
38.83926500,-90.09765600
38.86542500,-90.13708200
38.88189000,-90.17941200
38.86510800,-90.22606600
38.89125100,-90.25151900
38.90659100,-90.29526400
38.91057200,-90.35211200
38.91242900,-90.40749900
38.88648200,-90.44710300
38.84765200,-90.45615600
38.80700500,-90.47487200
38.77037300,-90.49353000
38.74486500,-90.52815600
38.71996100,-90.55528300
38.70446400,-90.60945700
38.73744300,-90.63630900
38.71376200,-90.68189500
38.69110300,-90.72627800
38.65952100,-90.75312800
38.63057900,-90.78000900
38.59231800,-90.80730300
38.58275000,-90.85744300
38.58753700,-90.90810800
38.58070600,-90.96179200
38.60175800,-91.00000300
38.56119300,-90.99580700
38.54523800,-91.02856700
38.57020900,-91.07590000
38.59019000,-91.12400300
38.59286400,-91.17919400
38.60037400,-91.23447100
38.61201700,-91.28716500
38.63607700,-91.33132000
38.66401100,-91.36748000
38.69688500,-91.40389100
38.72147700,-91.44345100
38.72378700,-91.49165300
38.70777700,-91.54643200
38.70296000,-91.60170700
38.71977300,-91.64998900
38.72406200,-91.70110200
38.70758400,-91.74388600
38.70538100,-91.79963500
38.68713800,-91.85087700
38.66123200,-91.89660500
38.63267300,-91.93909200
38.60799200,-91.98631800
38.58705400,-92.03667300
38.58040400,-92.09271400
38.59659800,-92.14560800
38.58264000,-92.17779000
38.59373700,-92.21356200
38.62168900,-92.24333400
38.64349900,-92.29298300
38.66026500,-92.34222500
38.68482900,-92.36557600
38.71825300,-92.39597800
38.75587500,-92.42126200
38.76447400,-92.47278200
38.79035300,-92.50291800
38.83057300,-92.50972800
38.86729600,-92.52860400
38.90806700,-92.52524000
38.92364200,-92.57652100
38.94373800,-92.62278900
38.95338400,-92.67581500
38.96005600,-92.72575300
38.94900400,-92.76892400
38.93558600,-92.81752400
38.94215800,-92.87313900
38.96634500,-92.91635400
38.99932800,-92.94915100
39.04562500,-92.94746600
39.08059900,-92.96764900
39.09153900,-93.02173100
39.10837200,-93.07520100
39.12607400,-93.12289300
39.13500700,-93.18204500
39.13970300,-93.23339700
39.16398800,-93.28092900
39.19184500,-93.32687400
39.19444500,-93.38403700
39.20002100,-93.43567200
39.20076300,-93.49425900
39.19982900,-93.54419700
39.20025000,-93.60079100
39.19580900,-93.65648800
39.18938000,-93.71366100
39.18130400,-93.77004200
39.18372600,-93.82477200
39.16594300,-93.87542900
39.14793100,-93.92707900
39.12542700,-93.97268300
39.11442200,-94.02656500
39.12235700,-94.08719400
39.13440400,-94.14185100
39.13796000,-94.19693400
39.13967100,-94.25475700
39.13659100,-94.31182700
39.12337900,-94.36424800
39.10109900,-94.40930700
39.10192300,-94.42950500
39.10702400,-94.48285000
39.10596000,-94.54049300
39.12432800,-94.58030500
39.16412000,-94.59494600
39.17787000,-94.64848800
39.20475800,-94.68229000
39.21441600,-94.72785900
39.23050500,-94.77991700
39.26123300,-94.81250100
39.29982200,-94.84582800
39.34252200,-94.86273700
39.38409000,-94.86516900
39.41771300,-94.89124900
39.43813600,-94.93800400
39.46976200,-94.97988800
39.50626000,-95.01179100
39.54428100,-95.04376700
39.58704100,-95.03335400
39.62064600,-94.99656100
39.64556000,-94.95022700
39.67613100,-94.90774200
39.71214000,-94.87357200
39.75244200,-94.85283000
39.74693000,-94.87657900
39.74967700,-94.92826600
39.77661700,-94.97206900
39.78430200,-95.02634400
39.79438700,-95.08368100
39.79808100,-95.14303800
39.81139700,-95.19524000
39.83654200,-95.24631300
39.84213200,-95.30283800
39.84194500,-95.36133400
39.84175700,-95.41883500
39.84086000,-95.47772300
39.84072700,-95.53616800
39.84861000,-95.58276900
39.84847200,-95.64865200
39.84116300,-95.70818100
39.84132300,-95.76126400
39.84156300,-95.82163300
39.84142700,-95.88287200
39.84125400,-95.93931600
39.84121300,-95.99576200
39.84129400,-96.05509800
39.84162200,-96.11445600
39.84161400,-96.17375600
39.84158000,-96.22985800
39.84210000,-96.28999600
39.84168800,-96.35128200
39.84166800,-96.40681100
39.84144300,-96.46262200
39.84154200,-96.52354300
39.84151400,-96.58204200
39.84214300,-96.64072300
39.86729800,-96.66636200
39.91279800,-96.66652900
39.95499600,-96.65715300
39.99973400,-96.65600400
40.04401200,-96.65224600
40.08830700,-96.65598600
40.12956800,-96.67152500
40.13936000,-96.72076000
40.16681300,-96.74665400
40.21125600,-96.74632100
40.25556100,-96.74644900
40.27726000,-96.78185300
40.28516600,-96.81487600
40.26594800,-96.78209300
40.22359100,-96.78790000
40.21941600,-96.84136200
40.21929400,-96.90800200
40.20145900,-96.95421900
40.19003500,-97.01097700
40.18898400,-97.07138400
40.16760000,-97.12271700
40.14654500,-97.17106300
40.14674400,-97.23120300
40.14699300,-97.28788800
40.14716400,-97.34696600
40.14639300,-97.40646600
40.14702000,-97.46354000
40.14721900,-97.52247400
40.14720900,-97.58144000
40.14706100,-97.63949600
40.14700200,-97.69248400
40.16893000,-97.72699500
40.21400500,-97.72650500
40.26341600,-97.72696000
40.30433200,-97.72700600
40.30420800,-97.78173600
40.30727400,-97.83976700
40.30730700,-97.89678700
40.30713300,-97.95693500
40.30734200,-98.01654300
40.31284800,-98.06720400
40.35337200,-98.05397000
40.39837900,-98.05168900
40.43776800,-98.05840900
